Date,Open,High,Low,Close,Volume,Adj.Close,change,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,Negative,Positive,Max_Sentiment,Sentiment_Proportion
8/8/2008,11432.08984,11759.95996,11388.04004,11734.32031,212830000,11734.32031,2.643702701,13,7,7,15,2,9,4,8,20,9,Negative,0.212765957
8/11/2008,11729.66992,11867.11035,11675.53027,11782.34961,183190000,11782.34961,0.449114829,6,6,2,11,5,4,5,7,11,11,Fear,0.161764706
8/12/2008,11781.7002,11782.34961,11601.51953,11642.46973,173590000,11642.46973,-1.181751918,10,3,1,8,3,8,3,5,14,11,Negative,0.212121212
8/13/2008,11632.80957,11633.78027,11453.33984,11532.95996,182550000,11532.95996,-0.8583447390000001,8,4,2,12,4,7,2,11,15,15,Negative,0.1875
8/14/2008,11532.07031,11718.28027,11450.88965,11615.92969,159790000,11615.92969,0.72718405,10,12,2,12,7,9,6,12,16,19,Positive,0.180952381
8/15/2008,11611.20996,11709.88965,11599.73047,11659.90039,215040000,11659.90039,0.419339846,12,4,3,15,6,7,3,11,17,12,Negative,0.188888889
8/18/2008,11659.65039,11690.42969,11434.12012,11479.38965,156290000,11479.38965,-1.546021853,8,4,5,12,2,6,2,5,18,10,Negative,0.25
8/19/2008,11478.08984,11478.16992,11318.5,11348.54981,171580000,11348.54981,-1.128585337,4,3,0,11,4,4,4,7,7,11,Fear,0.2
8/20/2008,11345.94043,11454.15039,11290.58008,11417.42969,144880000,11417.42969,0.630086668,6,8,3,10,4,5,4,11,13,14,Positive,0.179487179
8/21/2008,11415.23047,11476.20996,11315.57031,11430.20996,130020000,11430.20996,0.13122373699999998,13,4,7,10,5,4,2,14,19,16,Negative,0.20212766
8/22/2008,11426.79004,11632.12988,11426.79004,11628.05957,138790000,11628.05957,1.761382946,6,4,4,12,4,5,3,14,15,13,Negative,0.1875
8/25/2008,11626.19043,11626.26953,11362.62988,11386.25,148610000,11386.25,-2.063792361,16,8,4,16,7,10,5,10,21,18,Negative,0.182608696
8/26/2008,11383.55957,11436.24023,11340.41016,11412.87012,119800000,11412.87012,0.25748138600000003,8,5,2,13,4,6,3,13,14,7,Negative,0.186666667
8/27/2008,11412.45996,11554.45996,11381.76953,11502.50977,120580000,11502.50977,0.7890481570000001,6,2,1,14,3,8,2,11,13,12,Fear,0.194444444
8/28/2008,11499.87012,11715.17969,11499.79004,11715.17969,149150000,11715.17969,1.872278285,9,7,4,15,6,6,3,5,17,13,Negative,0.2
8/29/2008,11713.23047,11713.23047,11543.38965,11543.95996,166910000,11543.95996,-1.445122321,8,7,5,14,3,5,2,9,16,11,Negative,0.2
9/2/2008,11545.62988,11790.16992,11471.90039,11516.91992,177090000,11516.91992,-0.248665177,19,12,7,21,1,16,7,8,24,15,Negative,0.184615385
9/3/2008,11506.00977,11554.37988,11416.53027,11532.87988,174250000,11532.87988,0.233531151,4,8,4,7,3,5,2,11,14,15,Positive,0.205479452
9/4/2008,11532.48047,11532.48047,11176.01953,11188.23047,229200000,11188.23047,-2.985047327,9,6,2,10,6,7,3,11,14,15,Positive,0.180722892
9/5/2008,11185.62988,11245.15039,11037.84961,11220.95996,198300000,11220.95996,0.315852378,8,11,0,13,6,7,4,11,16,14,Negative,0.177777778
9/8/2008,11224.87012,11570.66016,11224.79004,11510.74023,273000000,11510.74023,2.546756568,5,4,1,10,4,3,3,7,13,13,Negative,0.206349206
9/9/2008,11514.73047,11577.5,11230.73047,11230.73047,257300000,11230.73047,-2.466405972,12,7,4,13,6,9,4,15,17,18,Positive,0.171428571
9/10/2008,11233.91016,11380.62988,11215.25977,11268.91992,214260000,11268.91992,0.311643635,7,3,4,9,2,10,4,10,14,11,Negative,0.189189189
9/11/2008,11264.44043,11445.67969,11098.66992,11433.70996,247820000,11433.70996,1.502689211,7,3,1,10,2,6,4,6,9,8,Fear,0.17857142899999998
9/12/2008,11429.32031,11459.92969,11280.40039,11421.99023,238890000,11421.99023,-0.06413398,8,5,3,9,2,4,6,12,16,13,Negative,0.205128205
9/15/2008,11416.37012,11416.4502,10917.50977,10917.50977,432970000,10917.50977,-4.36969322,16,7,6,18,4,11,6,16,25,16,Negative,0.2
9/16/2008,10905.62012,11093.21973,10742.7002,11059.01953,494760000,11059.01953,1.406608816,13,5,4,19,4,9,3,9,21,15,Negative,0.205882353
9/17/2008,11056.58008,11057.30957,10595.90039,10609.66016,463200000,10609.66016,-4.042117172,4,2,0,8,1,3,0,5,11,5,Negative,0.282051282
9/18/2008,10609.00977,11076.44043,10459.44043,11019.69043,488060000,11019.69043,3.871055575,11,3,3,10,2,5,2,8,14,10,Negative,0.205882353
9/19/2008,11027.50977,11483.04981,11026.7002,11388.44043,655110000,11388.44043,3.273002443,8,2,4,11,3,10,3,6,18,11,Negative,0.236842105
9/22/2008,11394.41992,11394.58008,10992.2002,11015.69043,213210000,11015.69043,-3.323815469,6,6,6,13,3,9,4,8,18,10,Negative,0.21686747
9/23/2008,11015.69043,11143.20996,10833.94043,10854.16992,204480000,10854.16992,-1.466276753,11,11,3,8,4,4,3,8,12,13,Positive,0.16883116899999998
9/24/2008,10850.01953,10928.40039,10753.57031,10825.16992,183630000,10825.16992,-0.229028242,11,7,5,16,6,9,6,11,21,13,Negative,0.2
9/25/2008,10827.16992,11129.19043,10827.00977,11022.05957,218530000,11022.05957,1.800005444,2,4,1,8,3,2,2,5,8,7,Fear,0.19047619
9/26/2008,11019.04004,11168.05957,10868.82031,11143.12988,232560000,11143.12988,1.126140241,9,8,4,14,3,7,6,9,15,13,Negative,0.170454545
9/29/2008,11139.62012,11139.94043,10365.4502,10365.4502,385940000,10365.4502,-6.94969769,15,7,5,19,6,11,5,10,20,12,Negative,0.181818182
9/30/2008,10371.58008,10868.90039,10371.41992,10850.66016,319770000,10850.66016,4.619161925,3,6,3,6,4,5,1,7,10,13,Positive,0.224137931
10/1/2008,10847.40039,10882.51953,10631.9502,10831.07031,256670000,10831.07031,-0.15054371,16,5,4,17,8,12,2,12,22,20,Negative,0.186440678
10/2/2008,10825.54004,10825.54004,10439.51953,10482.84961,395330000,10482.84961,-3.16557353,6,7,2,9,4,7,4,15,13,16,Positive,0.192771084
10/3/2008,10483.95996,10796.25977,10310.25,10325.37988,299690000,10325.37988,-1.512597135,6,2,2,10,2,3,3,4,17,9,Negative,0.293103448
